measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,displayName,configuredCapacity,configuredCapacityUnit,totalBytes,totalBytesUnit,networkServiceIndicator,networkServiceIndicatorFactor,networkServiceIndicatorUnit,monitoringMechanism,maxMicroburst,maxMicroburstUnit,oneSecondPeak,oneSecondPeakUnit,recommendation,measuresMessages,packetMicroburstAvailable,effectiveCapacity,effectiveCapacityUnit,averageUtilisation,averageUtilisationUnit,linkSizePacketDelay,linkSizePacketDelayUnit,linkSizeQueueLength,linkSizeQueueLengthUnit
rt-class/CUST_NP-Trading/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_NP-Trading] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Optnet/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_Optnet] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_RJC-Partners/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_RJC-Partners] -> [CustomerGateway]  - class-default,,,1544448,B,50,100,,pnqm,300,messages per second,16,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_RiteNote/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_RiteNote] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_SchwartzCap//London_CNE/CustomerGateway//class-default,,,,,,[CUST_SchwartzCap] -> London_CNE[CustomerGateway]  - class-default,,,467844,B,10,100,,pnqm,900,messages per second,40,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Securitize/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_Securitize] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_SorrinPtnrs/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_SorrinPtnrs] -> [CustomerGateway]  - class-default,,,50355,B,10,100,,pnqm,300,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_TertiarLLC/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_TertiarLLC] -> [CustomerGateway]  - class-default,,,35720,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Ukemi/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_Ukemi] -> [CustomerGateway]  - class-default,,,845705,B,650,100,,pnqm,1528,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_WallCity/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_WallCity] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_WhiteLine/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_WhiteLine] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Xtense/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_Xtense] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_YTrade//London_CNE/CustomerGateway//class-default,,,,,,[CUST_YTrade] -> London_CNE[CustomerGateway]  - class-default,,,126961,B,50,100,,pnqm,50,messages per second,3,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUSTOMERS/PlantLatency/class-default,,,,,,London_CNE[CUSTOMERS] <- [CustomerGateway] PlantLatency - class-default,,,16814224,B,60,100,,pnqm,10550,messages per second,763,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_AlphaChase//class-default,,,,,,London_CNE[CUST_AlphaChase] <- [CustomerGateway]  - class-default,,,413503,B,-1,100,,none,3700,messages per second,150,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_Arco//class-default,,,,,,London_CNE[CUST_Arco] <- [CustomerGateway]  - class-default,,,900434,B,-1,100,,none,300,messages per second,19,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_BlaiseCapital//class-default,,,,,,London_CNE[CUST_BlaiseCapital] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_BriteEdge//class-default,,,,,,London_CNE[CUST_BriteEdge] <- [CustomerGateway]  - class-default,,,6287861,B,-1,100,,none,3900,messages per second,215,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_BroadwayLLC//class-default,,,,,,London_CNE[CUST_BroadwayLLC] <- [CustomerGateway]  - class-default,,,48352,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_CLine//class-default,,,,,,London_CNE[CUST_CLine] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_Clearborn//class-default,,,,,,London_CNE[CUST_Clearborn] <- [CustomerGateway]  - class-default,,,44771,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_DarkCross//class-default,,,,,,London_CNE[CUST_DarkCross] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_Excalibur//class-default,,,,,,London_CNE[CUST_Excalibur] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_GreenSyke//class-default,,,,,,London_CNE[CUST_GreenSyke] <- [CustomerGateway]  - class-default,,,150076,B,-1,100,,none,4550,messages per second,111,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_HedgeFuture//class-default,,,,,,London_CNE[CUST_HedgeFuture] <- [CustomerGateway]  - class-default,,,2343512,B,-1,100,,none,5050,messages per second,171,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_JJR-inc//class-default,,,,,,London_CNE[CUST_JJR-inc] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_LaSalle//class-default,,,,,,London_CNE[CUST_LaSalle] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_MapleGroup//class-default,,,,,,London_CNE[CUST_MapleGroup] <- [CustomerGateway]  - class-default,,,65197,B,-1,100,,none,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_NP-Trading//class-default,,,,,,London_CNE[CUST_NP-Trading] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_Optnet//class-default,,,,,,London_CNE[CUST_Optnet] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_RJC-Partners//class-default,,,,,,London_CNE[CUST_RJC-Partners] <- [CustomerGateway]  - class-default,,,3111272,B,-1,100,,none,6100,messages per second,381,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_RiteNote//class-default,,,,,,London_CNE[CUST_RiteNote] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_Securitize//class-default,,,,,,London_CNE[CUST_Securitize] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_SorrinPtnrs//class-default,,,,,,London_CNE[CUST_SorrinPtnrs] <- [CustomerGateway]  - class-default,,,56745,B,-1,100,,none,450,messages per second,15,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_TertiarLLC//class-default,,,,,,London_CNE[CUST_TertiarLLC] <- [CustomerGateway]  - class-default,,,30304,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_Ukemi//class-default,,,,,,London_CNE[CUST_Ukemi] <- [CustomerGateway]  - class-default,,,2085930,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_WallCity//class-default,,,,,,London_CNE[CUST_WallCity] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_WhiteLine//class-default,,,,,,London_CNE[CUST_WhiteLine] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/CUST_Xtense//class-default,,,,,,London_CNE[CUST_Xtense] <- [CustomerGateway]  - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/XCapital-01/XCapital-1/class-default,,,,,,London_CNE[XCapital-01] <- [CustomerGateway] XCapital-1 - class-default,,,116117,B,-1,100,,none,550,messages per second,18,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway//London_CNE/XCapital-02/XCapital-2/class-default,,,,,,London_CNE[XCapital-02] <- [CustomerGateway] XCapital-2 - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway/London_CNE//CUSTOMERS/Client%20Responses/class-default,,,,,,London_CNE[CustomerGateway] -> [CUSTOMERS] Client Responses - class-default,,,8420981,B,-1,100,,none,700,messages per second,52,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/CustomerGateway/London_CNE//CUSTOMERS/OrderLatency/class-default,,,,,,[CUSTOMERS] <- London_CNE[CustomerGateway] OrderLatency - class-default,,,16814224,B,-1,100,,none,10550,messages per second,763,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway/London_CNE//CUST_AlgoSpeed//class-default,,,,,,[CUST_AlgoSpeed] <- London_CNE[CustomerGateway]  - class-default,,,6423396,B,-1,100,,none,10550,messages per second,757,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway/London_CNE//CUST_Bergman//class-default,,,,,,[CUST_Bergman] <- London_CNE[CustomerGateway]  - class-default,,,7870097,B,-1,100,,none,600,messages per second,50,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps-BusinessHours/class-default,,,,,,[CUST_Bergman] <- London_CNE[CustomerGateway] TrafficGaps-BusinessHours - class-default,,,7870097,B,-1,100,,none,1008,kbps,127,kbps,none,FALSE,TRUE,100000,kbps,0,%,100,kbps,59,kbps
rt-class/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps/class-default,,,,,,[CUST_Bergman] <- London_CNE[CustomerGateway] TrafficGaps - class-default,,,7870097,B,10,100,,tcp,1008,kbps,127,kbps,none,FALSE,TRUE,100000,kbps,0,%,100,kbps,59,kbps
rt-class/CustomerGateway/London_CNE//CUST_FlowCapital//class-default,,,,,,[CUST_FlowCapital] <- London_CNE[CustomerGateway]  - class-default,,,2094126,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway/London_CNE//CUST_SchwartzCap//class-default,,,,,,[CUST_SchwartzCap] <- London_CNE[CustomerGateway]  - class-default,,,426605,B,-1,100,,none,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway/London_CNE//CUST_YTrade//class-default,,,,,,[CUST_YTrade] <- London_CNE[CustomerGateway]  - class-default,,,134861,B,-1,100,,none,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CustomerGateway/London_CNE//XCapital-03/XCapital-3/class-default,,,,,,[XCapital-03] <- London_CNE[CustomerGateway] XCapital-3 - class-default,,,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/DC_Chicago//London_CNE//%40Chicago/class-default,,,,,,London_CNE[any] <- [DC_Chicago] @Chicago - class-default,,,265869309,B,-1,100,,none,36896,kbps,1276,kbps,none,FALSE,TRUE,100000,kbps,1,%,,,,
rt-class/DC_Chicago//London_CNE///class-default,,,,,,London_CNE[any] <- [DC_Chicago]  - class-default,100,remaining %,265867023,B,100,100,,pnqm,10634,kbps,1265,kbps,none,FALSE,TRUE,100000,kbps,1,%,2614,kbps,1046,kbps
rt-class/DC_Frankfurt//London_CNE//%40Frankfurt/class-default,,,,,,London_CNE[any] <- [DC_Frankfurt] @Frankfurt - class-default,,,7360035,B,180,100,,tcp,24753,kbps,794,kbps,none,FALSE,TRUE,100000,kbps,0,%,,,,
rt-class/DC_Frankfurt//London_CNE///class-default,,,,,,London_CNE[any] <- [DC_Frankfurt]  - class-default,100,remaining %,7360035,B,50,100,,pnqm,22022,kbps,794,kbps,none,FALSE,TRUE,100000,kbps,0,%,16101,kbps,4173,kbps
rt-class/DC_NewJersey/NewJersey_CNE/London_CNE///class-default,,,,,,London_CNE[any] <- NewJersey_CNE[DC_NewJersey]  - class-default,,,0,B,0,100,,tcp,0,kbps,0,kbps,none,FALSE,TRUE,,,,,0,kbps,0,kbps
rt-class/Eurex-EBS-A//London_CNE/FeedHandler/AvB_Latency/class-default,,,,,,[Eurex-EBS-A] -> London_CNE[FeedHandler] AvB_Latency - class-default,,,50646358,B,60,100,,pnqm,65552,kbps,2385,kbps,none,TRUE,TRUE,1000000,kbps,0,%,5441,kbps,5625,kbps
rt-class/Eurex-EBS-B//London_CNE/FeedHandler//class-default,,,,,,[Eurex-EBS-B] -> London_CNE[FeedHandler]  - class-default,,,50646358,B,-1,100,,none,49506,kbps,2366,kbps,none,TRUE,TRUE,50000,kbps,0,%,5405,kbps,5625,kbps
rt-class/Euronext-UTP-A/London_CNE////class-default,,,,,,London_CNE[Euronext-UTP-A] -> [any]  - class-default,,,32035120,B,0,100,,tcp,15800,messages per second,843,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/FIX-CLIENTS/London_CNE//FIX-SERVERS/FIX-RTT/class-default,,,,1,,London_CNE[FIX-CLIENTS] -> [FIX-SERVERS] FIX-RTT - class-default,,,23987196,B,9990,100,,pnqm,2849,messages per second,185,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/FIX-SERVERS//London_CNE/FIX-CLIENTS/FIX-RTT/class-default,,,,,,London_CNE[FIX-CLIENTS] <- [FIX-SERVERS] FIX-RTT - class-default,,,33628448,B,850,100,,tcp,21276,messages per second,1527,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/LSE-Infolect//London_CNE/FeedHandler/Infolect/class-default,,,,,,[LSE-Infolect] -> London_CNE[FeedHandler] Infolect - class-default,,,29747720,B,-1,100,,none,38805,kbps,1216,kbps,none,FALSE,TRUE,50000,kbps,0,%,2487,kbps,3463,kbps
rt-class/LSE-Infolect//London_CNE/FeedHandler/MarketData%40PortB/class-default,,,,,,[LSE-Infolect] -> London_CNE[FeedHandler] MarketData@PortB - class-default,,,29747720,B,0,100,,tcp,17458,kbps,1216,kbps,none,FALSE,TRUE,50000,kbps,0,%,,,,
rt-class/LSE-Infolect//London_CNE/FeedHandler/MarketData/class-default,,,,,,[LSE-Infolect] -> London_CNE[FeedHandler] MarketData - class-default,,,29747720,B,10,100,,pnqm,38805,kbps,1216,kbps,none,FALSE,TRUE,50000,kbps,0,%,2487,kbps,3463,kbps
rt-class/Nasdaq-ITCH/London_CNE////class-default,,,,,,London_CNE[Nasdaq-ITCH] -> [any]  - class-default,,,4988624,B,0,100,,tcp,33600,messages per second,569,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/OPRA-A//London_CNE/FeedHandler//class-default,,,,,,[OPRA-A] -> London_CNE[FeedHandler]  - class-default,,,16607,B,-1,100,,none,26544,kbps,54,kbps,none,FALSE,TRUE,1000000,kbps,0,%,1110,kbps,1,kbps
rt-class/OPRA-B//London_CNE/FeedHandler//class-default,,,,,,[OPRA-B] -> London_CNE[FeedHandler]  - class-default,,,16607,B,-1,100,,none,26544,kbps,54,kbps,none,FALSE,TRUE,50000,kbps,0,%,1099,kbps,1,kbps
rt-class/OpenBookUltra//London_CNE/FeedHandler/OpenBook/class-default,,,,,,[OpenBookUltra] -> London_CNE[FeedHandler] OpenBook - class-default,,,13930176,B,-1,100,,none,7096,kbps,401,kbps,none,TRUE,TRUE,50000,kbps,0,%,908,kbps,840,kbps
rt-class/OrderRouter//London_CNE/VENUES/Venue%20Responses/class-default,,,,,,London_CNE[VENUES] <- [OrderRouter] Venue Responses - class-default,,,5390741,B,-1,100,,none,650,messages per second,42,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/OrderRouter/London_CNE//Broker_MetroBank//class-default,,,,,,London_CNE[OrderRouter] -> [Broker_MetroBank]  - class-default,,,91241,B,50,100,,pnqm,50,messages per second,3,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//Broker_MetroBank/Session-1/class-default,,,,,,London_CNE[OrderRouter] -> [Broker_MetroBank] Session-1 - class-default,,,61568,B,50,100,,pnqm,50,messages per second,3,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//Broker_MetroBank/Session-2/class-default,,,,,,London_CNE[OrderRouter] -> [Broker_MetroBank] Session-2 - class-default,,,29673,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//Broker_OTCtrade//class-default,,,,,,London_CNE[OrderRouter] -> [Broker_OTCtrade]  - class-default,,,839592,B,60,100,,pnqm,1522,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//Broker_OTCtrade/Session-1/class-default,,,,,,London_CNE[OrderRouter] -> [Broker_OTCtrade] Session-1 - class-default,,,51008,B,0,100,,pnqm,50,messages per second,2,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//Broker_OTCtrade/Session-2/class-default,,,,,,London_CNE[OrderRouter] -> [Broker_OTCtrade] Session-2 - class-default,,,788584,B,60,100,,pnqm,1522,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUES/VenueLatency/class-default,,,,,,London_CNE[OrderRouter] -> [VENUES] VenueLatency - class-default,,,11993598,B,60,100,,pnqm,1522,messages per second,92,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago//class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago]  - class-default,,,3193696,B,10,100,,pnqm,650,messages per second,31,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-1/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-1 - class-default,,,1236512,B,10,100,,pnqm,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-2/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-2 - class-default,,,1309498,B,10,100,,pnqm,300,messages per second,12,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-3/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-3 - class-default,,,233011,B,10,100,,pnqm,300,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_Chicago/Session-4/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-4 - class-default,,,232831,B,10,100,,pnqm,300,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_LambdaATS//class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_LambdaATS]  - class-default,,,467844,B,10,100,,pnqm,750,messages per second,35,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_Lambda_ATS/Session-1/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_Lambda_ATS] Session-1 - class-default,,,125633,B,10,100,,pnqm,350,messages per second,16,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_Lambda_ATS/Session-2/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_Lambda_ATS] Session-2 - class-default,,,342211,B,10,100,,pnqm,750,messages per second,35,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_London//class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_London]  - class-default,,,7365505,B,480,100,,pnqm,650,messages per second,58,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_London/Session-1/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_London] Session-1 - class-default,,,11754,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_London/Session-2/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_London] Session-2 - class-default,,,12480,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_London/Session-3/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_London] Session-3 - class-default,,,6534061,B,80,100,,pnqm,650,messages per second,58,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_NewYork//class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_NewYork]  - class-default,,,35720,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/OrderRouter/London_CNE//VENUE_NewYork/Session-1/class-default,,,,,,London_CNE[OrderRouter] -> [VENUE_NewYork] Session-1 - class-default,,,35720,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/PropTradersA/London_CNE//VENUE_NJ-ATS/order-ack-latency/class-default,,,,,,London_CNE[PropTradersA] -> [VENUE_NJ-ATS] order-ack-latency - class-default,,,33477200,B,60,100,,pnqm,1360,messages per second,169,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/PropTradersA/London_CNE//VENUE_NJ-ATS/order-to-tick-latency/class-default,,,,,,London_CNE[PropTradersA] -> [VENUE_NJ-ATS] order-to-tick-latency - class-default,,,33477200,B,9990,100,,pnqm,1360,messages per second,169,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/PropTradersB/London_CNE//VENUE_Nasdaq/order-ack-latency/class-default,,,,,,London_CNE[PropTradersB] -> [VENUE_Nasdaq] order-ack-latency - class-default,,,6138080,B,10,100,,pnqm,500,messages per second,94,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/PropTradersB/London_CNE//VENUE_Nasdaq/order-to-tick-latency/class-default,,,,,,London_CNE[PropTradersB] -> [VENUE_Nasdaq] order-to-tick-latency - class-default,,,6138080,B,10,100,,pnqm,500,messages per second,94,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/TotalViewITCH//London_CNE/FeedHandler//class-default,,,,,,[TotalViewITCH] -> London_CNE[FeedHandler]  - class-default,,,34127770,B,-1,100,,none,147528,kbps,2798,kbps,none,FALSE,TRUE,50000,kbps,0,%,14493,kbps,21999,kbps
rt-class/Unmatched%20Traffic//London_CNE//Unmatched%20Traffic/class-default,,,,,,London_CNE[any] <- [Unmatched Traffic] Unmatched Traffic - class-default,,,0,B,-1,100,,none,0,kbps,0,kbps,none,FALSE,TRUE,,,,,,,,
rt-class/VENUES//London_CNE/OrderRouter/VenueLatency/class-default,,,,,,London_CNE[OrderRouter] <- [VENUES] VenueLatency - class-default,,,16814224,B,-1,100,,none,10550,messages per second,763,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUES/London_CNE//OrderRouter/Venue%20Responses/class-default,,,,,,London_CNE[VENUES] -> [OrderRouter] Venue Responses - class-default,,,8405959,B,470,100,,pnqm,650,messages per second,51,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/VENUE_Chicago//London_CNE/AlgoEngine/AlgoLatency/class-default,,,,,,London_CNE[AlgoEngine] <- [VENUE_Chicago] AlgoLatency - class-default,,,529560,B,0,100,,pnqm,37,messages per second,1,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter//class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago]  - class-default,,,6423396,B,-1,100,,none,10550,messages per second,757,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-1/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-1 - class-default,,,2506268,B,-1,100,,none,6350,messages per second,259,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-2/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-2 - class-default,,,2619671,B,-1,100,,none,6100,messages per second,259,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-3/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-3 - class-default,,,460488,B,-1,100,,none,5050,messages per second,210,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
